loan_word;purist_equivalent_edited
flankering;zijdelingse borstweering
flatteren;pluymstrijken, vleyen
flatteur;vleyer, pluymstrijker
flebotomie;aderlaating, aderopening
flecteren;buygen
flectie;buyging
flegma;slijm, snot, nattigheyd
flegmatijk;koudvogtig, slijmerig, snotterig
flerecijn inde handen;handeuvel, jigt inde handen
flerecijn inde voeten;voeteuvel, jigt in de voeten
flerecijn;ledeneuvel, jigt, ledenwee, ledensugt, ledensiekte
flerecijnagtig;jigtig
fleur;bloey, bloem, bloeysel
floreren;bloeyen
florijn;gulden
fluctuatie;drijving, vloeying
fluctueren;drijven, vloeyen, vervloeyen
fluctueus;vloeyig
foecunde;vrugtbaar
foecunderen;vrugtbaar maaken
foele;
foelen;
foeminijn;vrouwelijk, wijflijk
foire;markt, jaarmarkt
fol appel;kwaalijk beroep, onregt beroep
foly;blad
folye;malligheyd, sottigheyd
foment;stoofsel, stooving
fomentatie;stooving
fomenteren;stooven, koesteren
fondament;
fondamenteel;
fondateur;
fondatie;
fonderen;
fonds;grond
fontanel;sijpgat, sijptap
fonteyn;bron, water wel, springader
force;geweld, magt
forceren;bemagtigen, overweldigen, kragtkneusen
forclusie;verstek
forcluys;uytgeslooten
foreest;bosch, woud
forfeyt;wreed schelmstuk, boose daad
formalijk;gedaantelijk, gestaltelijk
formaliseren;tegenkanten, tegenankanten, opmaaken, anstellen
formaliteyt;gedaantigheyd, gestaltigheyd
forme;gedaante, gestalte, leest
formeel;gedaantig, gestaltig
formeerder;maaker, gedaantgeever, gestaltgeever, toesteller
formeersel;maaksel, ’t gemaakte, ’t gedaantgegevene, ’t gestalt gegeevene,toestelsel
formeren;gedaante geeven, gestalte geeven, maaken, toestellen
formidabel;vreeselijk, ontsiglijk
formoir;groefyser
formule;ontwerp, bewerp, voorschrift, leest
formulier;voorschrift, ontwerp, bewerp, leest
fornicatie;booging, omwelving
forniceren;welven, boogsgewijs maaken
fornieren;
fornissement;
fort;sterk
forte;sterk
fortificatie;versterking, sterkmaaking, sterktebouwing
fortificeren;versterken, sterk maaken, vesten
fortitude;sterkheyd
fortresse;sterkte, slot, schans
fortuit;gevallijk, by geval, avenduurlijk
fortuyn;geluk, kans, geval, avenduur, lukstaat
fosse;graft
fosset;
fosset-singen;
fossette;middelgraft
foule;gedrang
fouleren;verdrukken, dringen, vertreeden
fournais;vuyroven, schouw
fourneren;opbrengen, verschaffen, leeveren, stofferen, te bordebrengen
fournissement;verschaffing, opbrenging, leevering, stoffering
fourrage;voeder
fourragier;huysbestelder, bestelmeester, die voeder bestelt en verschaft
fourrier;
foveren;koesteren, bakeren, stooven
foy;geloof, betrouwe
fractie;breeking, breuk
fractuur;breuk
fragiliteyt;broosheyd, breekelijkheyd
fragment;breeksel, afbreeksel, stuk
frange;soom, boortsel
frangeren;breeken
fraudatie;bedrieging
fraude;bedrog, bedriegerye, arglist
frauderen;bedriegen
frayeur;schrik
freden;de schettering in ’t singen, de verkleyning des stems in ’t singen
fregat;jagt, jagtschip, roofjagt, bespieschip, zijnde lang ensmal en snel in ’t zeylen
frem;broeder
frenesie;kranksinnigheyd, is siekte ontstaande uyt ontsteeking der breynvliesen, anbrengende vinnige koorts en ontroering des gemoeds
frenetijk;kranksinnig
frequent;veelvuldig, veelvoudig, vaak, dikwijls, dikwijlig
frequenteren;bewandelen, doorwandelen, handelen, bywoonen
frermineur;minderbroeder, navolger, vande heylige Franciscus
frese;aardbesye
fricasseren;in de pan bakken, in de pan braaden
fringoteren;de sangmaaten, sangmerken enkelen, de maatmerken desgesangs breeken
friseert laaken;genopt laaken
friseren;met nopkens knopkens maaken, krullen
frivool;onnut, slegt, beuselagtig, leuragtig, kwabbig
frontieren;grensen, kusten
frontispis;voorgevel
fructueux;vrugtbaar
frugaal;suynig, spaarsaam
frugaliteyt;suynigheyd, spaarsaamheyd
frustratie;misleyding, ontwending, te loorstelling
frustre;te vergeefs, vrugteloos, ydelijk, om niet
frustreren;misleyden, ontwenden, te loorstellen, iewers van versteeken worden
fuge;vlugt, vlieding
fugeren;vlieden, vlugten
fugitijf;vlugtig, voorvlugtig
fulmineren;bliksemen, weerligten
fumeus;rookig
fumineren;rooken
functie;ampt, bediening
fundament;grondvest, grond
fundamenteel;grondelijk
fundateur;grondlegger, stigter
fundatie;grondlegging, vastsetting, bouwing, stigting
funderen;grondvesten, grond leggen, vestigen, vaststellen, vastmaaken
Funderen;stigten, timmeren
fungeren;ampt bedienen
fureur;raserny, uytsinnigheyd, woede, verwoedheyd, doldriftigheyd
furieus;dol, raasend, uytsinnig, woedig, verwoed
furneren;
fuse;agtendeel, het agste gedeelte van heele sangmaat
fuseye;vuyrpijl
futuur;toekomstig
gabe;boert, klugt
gabelle;tol, ongeld, ’t zy op ingevoerde uytgevoerde waaren ofkoopmanschappen, op eenige andere dingen
gabion;schanskorf, korven met aarde gevult gebruyktmen in belegeringen,en dieworden genoemt schanskorven, om datse in plaats van beschansing gebruyktworden
gage;wedde, loon, huurloon, huurgeld, huurwinst, loongeld, belooning,besolding
gageren;besolden, besolding geeven, huurloon geeven, beloonen
gaillarde;klugtige dans, vrolijke dans
gaillart;bly, vrolijk
galand;
galatijn;
galeard;
galearde;
galeon;
galeote;
galey;roeyschip
galland;lustig, geestig, hupsch
gallery;wandelgang, wandeldreef
gallioen;Oorlogs-schip, Konings-schip, hoofd-schip
gallioot;zee-jagt
galop;ren, snelle loop
galopperen;rennen, snel loopen
gambuyn;ham, verkens ham
gangrene;koud vuyr, vuyl vleesch, verrottend vleesch
gangreneren;ineeten, inkankeren, verrotten, inrotten
garance;meekruyd, krapkruyd
garand;vrywaaring, waaring, waarborg, bevrying, waarschap, bevrying
garandatie;
garanderen;vrywaaren, waaren, waarborgen, bevryen, ontheffen, vergoeden,voor benadering bevryen
garbeleren;uytsonderen, uytsiften
garbeleur;uytsonderer, uytsifter
garboille;gerugt, getier
garde nappe;tafel ring
garde;bewaaring, wagt
garderen;bewaaren, gade slaan, behoeden
garderobbe;kleerkas, kleerkist
gardiaan;bewaarder, wagter, opsiender
garlande;
garment;kleed, kleeding, vertsiering, vertsiersel, optoysel
garnieren;stofferen, toerusten, optoyen, vertsieren, wapenen, vestigen
garnisoen;besetting, besetting volk
garson;jongen
gauderen;sik verblijden, blijde zijn, verblijd zijn
gaugie;vatmaat, eyking, vateyking
gaugieren;vatmeeten, vaten eyken
gaugierer;vatmeeter, vateyker
geaccuseerde;beschuldigde, angeklaagde betigte
geaccuseert;beschuldigt, angeklaagt, betigt
geaffecteert;opgepronkt, niet in den aart
geapprehendeerde;gevange, vastgehoudene
geapprehendeert;gevange, vast gehoude
gearresteerde goed;
gearresteerde persoon;
gearresteerde;
gearresteert;
geassisteert met haar voogd;ten overstaan van haar voogd
geassisteert;geholpen, bygestaan
geauthoriseerde;
geauthoriseert;
geciteerde;gedagde, gedagvaerde
geciteert;gedagt, gedagvaart
gecommitteerde;
gecommitteert;
geconsigneert;onderregt, gelegt, versekert, getekent, gemerkt
geconstitueerde;gemagtigde, volmagtigde, magtig gemaakte, last gegeevene,volmagtgegeevene, volmagt ontfangster, magtig gemaakte
gedelegeerde regters;
gedelegeerde;
gedelegeert;
gedenk-offer;gedenkt-gifte, gedatenis-gifte
gedeputeerde;
gedeputeert;
gedetineerde;gevange, besettede, vastgehoudene, die uyt eenige schuldbeset, en vast gehouden word, om eenige misdaad gevangen
gedetineert;gevange, beset, vastgehoude, opgehoude, gevange gehouden
Gedetineert;onthouden
gedevaliseert;beschadigt, ontreddert
gediffameerde;
gediffameert;
gedilayeert;uytgestelt, verlengt, sleepende gehouden
geexcipieert;uytgenomen, uytgesondert
geexcommuniceerde;
geexcommuniceert;
gehenna;dal des roovers, rooversdal, bedroeversdal,bedriegersdal, dal van zijn rijkheden
geinsinueerde;
geinterdiceerde;
geinterineert;gestadet, bevestigt
geintimeerde;ontbodene, angekondigde
geintimeerr;ontboden, angekondigt, bekent gemaakt
gelaatse;
gelatijne;gedikt sop, verdikt sap, gestijft sap
geld op deposito hebben;geld onder sik berustende hebben, andersontfangen geld onder sik hebben
Geld op deposito setten;
geld op interest hebben;geld op geldswinst hebben
geld op interest neemen;of ligten, geld op gelds-winst neemen ligten
geld op interest setten;geld op geldswinst geeven
geld op renten hebben;geld op inkomst hebben, geld op jaarlijkse inkomsthebben
geld op renten neemen;geld op jaarlijkse vaste inkomsten neemen, ligten
geld op renten setten;geld op jaarlijkse inkomst geeven, geld op inkomst setten, geeven
gelegitimeerde;wettig gemaakte, bewettigde
gelegitimeert;gewettigt, wettig gemaakt
geleren;vriesen
geminatie;verdubbeling, dubbelmaaking
gemineren;verdubbelen, dubbel maaken
gendarme;krijgsman, krijger, krijgs-knegt, oorlogsman, soldaat, die omsold ten oorlog dient
gendarmerye;krijgshoop, krijgsbende
genealogie;geslagt-rekening, geslagt-boom, geslagt-tafel, afkomst
generaal hypoteecq;
generaal ontfanger;algemeenontfanger, gemeene lands ontfanger
generaal;algemeen, gemeen, onbepaalt, landgemeen
generabel;teelbaar
generale procuratie;
generalijk;onbepaalijk, algemeenlijk
generaliteyt;algemeenheyd
generatie;teeling, voortbrenging, baaring
genereren;teelen, voortbrengen, baaren, voort teelen
genereus;grootmoedig, edelmoedig
generositeyt;grootmoedigheyt, edelmoedigheyt
genesis;teeling, baaring, geboorte, wording
genitoires;teel-leden
geniture;teelsel, saad
genuin;angebooren, ingebooren, aartlijk
geographie;aardbeschrijving, aardklood-kunde
geomantie;waarseggery, uyt de aarde, stip-waarseggery
geometrie;aardmeeting, aardmeet-kunde, meetkonst, meetkunde
gepassioneert;driftig, sugtig, sijdig
gereformeerde religie;de herstelde Godsdienst, gesuyverde Godsdienst
gerequireerde;
gespolieerde;
geste;gebaarde, gelaat, bootse
gesten;gebaarden
gesticulatie;bootsing, gelaatbootsing, gebaarding
gesticuleren;bootsemaaken, klugten bedrijven, guyggelspel speelen
gestie;gebaar
gesupposeerde;valsch toegestelde, valsch opgemaakte, uytgemaakte
getaxeert;geschat, gewaardeert, op geld geset
geule;de roode verw inde wapen teykens
geus;fielten, guyten, bedelaers
giostre;
giostreren;
girlande;bloemkrans, roosenhoed, bovenkrans
girole;suyker wortel kruyd, suyker wortel
gisarme;
glaatse;beysde vlakte, beysselde weg, straat
gladie;swaard
globe;kloot, bol
gloriatie;roeming, beroeming, brallen, loving
glorie;lof, eer, roem, heerlijkheyd, luyster
glorieren;roemen, beroemen, loven, brallen, verblijden
glorieus;loflijk, lofrijk, roemend, beroemend, heerlijk, laatdunkend, fier
glorieusheyd;
glorieuslijk;loflijk, met roem, met eer, heerlijk, fierelijk, laatdunkendlijk
glorificatie;verheerlijking, heerlijkmaaking
glorificeren;verheerlijken, heerlijk maaken, roemen, brallen
glos;uytlegging, verklaaring
glosseren;uytleggen, verklaaren
glotoen;vraat, slokaert, gulsigaart
goblet;beker, drinkbeker
goederen van contrabande;
gom of gomme;klibber, klubber, traan, boom-traan
gomme dragant;boksdoorns-traan, klibber van boksdoorn
gordijn;behangsel, scherm beddehangsel, bedscherm
gorgias;halsdoek, borstlap
gotiere;drop druyp, droppel, goot, daar water door loopt
gourmanderen;vreeten, gulsig zijn, opslokken, schokken, slokken
gourmandise;vraatigheyd, gulsigheyd, opslokking
gouvernante;bestierster, heerscherse, land-voogdesse, stad-voogdesse,rijks-voogdesse
gouvernement;bestiering, land-voogdy, stad-voogdy, plaats-voogdy
gouverneren;bestieren, beheerschen
gouverneur;bestierder, bestierer, bewints-man, ruwaard, heerscher, voogd,land-voogd, stad-voogd, rijks-voogd
gouverneurschap;
graad;trap
graaden;trappen, bienen, vischbienen, maagtallen
gradatie;klimming, opklimming, trapopklimming, gang van trap tot trap,overstapping
grametse;betrekking, mal gelaat, bootsing
grammatica;letterkonst, spraakkonst
grammatist;lettermeester, schrijfmeester, meester
grammatistica;schrijfkonst
grand mercy;grooten dank
grandiloquentie;grootspreeking, pragtredening, pronkreden
grassatie;straatschendery, afsetting, goed afsetting, berooving
grasseren;straatschenden, woeden, rooven, in swang gaan, gaan weyden
gratie;genade, gunste, goedgunstigheyd, vergunning, gunstgeeving,kwijtschelding, danksegging
gratieus;gunsting, goedgunstig, lieftaalig, angenaam
gratieusheyd;gunstigheyd, goedgunstigheyd, lieftaaligheyd, angenaamheyd
gratieuslijk;gunstelijk, goedgunstelijk, lieftaaliglijk
gratitude;dankbaarheyd
gratulatie;bedanking, danksegging, gelukwensching
gratuleren;bedanken, danksegg, gelukwenschen, sik wel belooven
gravame;beswaarenis, swaarigheyd
gravatie;beswaaring, belaading
graveren;beswaaren, kwetsen, belaaden
Graveren;insnijden, snijden in goud, silver, koper, yser
gravering;insnijding
gravis;swaar
graviteyt houden;staatigheyd houden, deftigheyd houden, waardigheyd houden
graviteyt;deftigheyd, staatigheyd
gremetse;
grenalt;koolsteen, vuyrige koolsteen, om datse als vuyrige koolglinstert
grief;hinder, hindernis, kwetsing, schade, beswaarenis, swaarigheyd
grieven à minima;beswaarenissen in het minder gedeelte des gedings
grieven;beswaarnissen
grieven;hinderen, hinderlijk zijn, schaden, schadelijk zijn, nadeelig zijn, kwetsen
griffie;schrijf-kamer
griffier subsituyt;twede schrijver des hofs, twede geregt-schrijver des hofs
griffier;des hofs schrijver, hofs geregt-schrijver, eersteschrijver des hofs, eerste geregt-schrijver des hofs
gros;uytschrift, uytschrift
grosseren;uytschrijven, in ’t net schrijven, in ’t net uyt schrijven
grossier;groot handelaar
gruier;of gruwier, houtvester
guarand;
guarandatie;
guaranderen;
gubernateur;bestierder
gubernatie;bestiering
guberneren;bestieren
guerdon;belooning, vergelding
guichet;poortken, deurken
guide;wegwijser, leydsman
guidon;vaandelken, vaanken, Oorlogs-teken
guirlande;
guisarme;pijl, werpspiets, steekspiets
gum;
gurgitatie;slokking
gurgiteren;slokken, slikken
gustatie;proeving, smaaking
gusteren;proeven, smaaken
habijl;afgeregt, bekwaam, geschikt, behendig, heblijk
habijt;kleed, kleeding
habiliteren;bekwaam maaken
habiliteyt;bekwaamheyd, behendigheyd, gaauwdaadigheyd
habitatie;bewooning, wooning, bewooning van huys, woonstede
habiteren;woonen, bewoonen, verblijven, op plaats blijven
habituatie;kleeding, bekleeding
habitude;bekwaamheyd, hebbelijkheyd
habitueren;bekleeden
hacquenye;telle, paerd ’t welk tel gaat
hallelujah;looft den Heere
hallucinatie;dwaaling, missing, misslag, dooling
hallucineren;dwaalen, missen, misslaan, doolen
hamay;voor poorte
harangue;rede, beweegrede, vertoog
harangueren;rede doen, rede voeren
harasseren;uytslooven, afslaan, afmennen
harcederen;krakkelen
harmonie;wel luyding, eenstemmigheyd, overeenstemming, tsaamenstemming, soet luydigheyd
harniceurs;wagen-smeerders
harquebuse;
harquebuseerde;
harquebuseren;
harquebusier;
haubert;harnas, borstharnas
haurieren;putten, water-putten, scheppen, Haurieren, inslokken, inswelgen
haverye;schaade draaging, scheeps-schaade draaging, schaade draaging vanscheeps verlies, uytwerping van goederen in zee
hazard;lot, kans, gevaar, avenduur
hazarderen;waagen
hef-offer;hef-gifte hef-gaave, Hebr
hemisphere;half rond, half kloot
hepaticq;leversugtig, leversugtige
heraut;Oorlogs-ansegger, krijgs-boode, krijgs-verkondiger
herbarist;kruydkenner, kruydleeser, kruydplukker, kruydenier
herbarius;kruydboek, kruydschat
herbarizeren;kruydplukken
herederen;erven, goed erven
herediteren;erven, goed erven
herediteur;erfgenaam, is die erfgoed beurt
herediteyt;erffenis
heremijt;woud-broeder, woud-wooner, kluysenaar
heremitage;woud-broederschap, kluysenaarschap
heresie;gesintheyd, keur, verkiesing, wil, gesin, huysgesin, bevlijtiging,tragting, volging, navolging, ketsery, kettery
hereticq;ketser, ketter
heritage;erfdeel, erfgoed
hermaphroditen;man-wijven
herniodactylen;tijdeloos-kruyds witte worte-len, witte wortelen van tijdeloos-kruyd
heroic;heldig, heldagtig, heerlijk, braaf, dapper
heureux;gelukkig
hideux;grouwsaam
hierarch;geestelijke overste, opperste, opsiender over de heyligedingen, de welke den Godsdienst raaken
hierarchy;geestelijke heerschappy geestelijke voogdy, geestelijke opsigtover de heylige dingen
hieroglyphice;heylig-verbeeldtelijk, beeldspraakelijk
hilariteyt;vrolijkheyd
hipocras;kruydwijn, welriekende kruydwijn, is wijn die toebereyd word meteenige welriekende kruyden
hipocrijt;geveynsde, schijnheylig
hipocrisie;geveynstheyd, schijnheyligheyd
hipoteek;
hipotekeren;
historie;geschiedenis, verhaal, verhaaling
history-schrijver;geschiedenis-schrijver
Hof-suuring;of hof-suuring-kruyd, is het kruyd dat wy hier beschreven hebben
holette;schaaphoeders staf
homagie;manschap, onderdanigheyd, hulding, hulde,getrouwigheyd
homicide;doodslager, die mensch dood slaet
homicidie;doodslag
homilie;gesprek, redenering
homologatie;bekentenisse, belijdenis, toestant, goedkenning, goedkeurig
homologeren;bekennen, belijden, toestaan, goedkennen, goedkeuren
honneur;eer
honorabel;eerlijk, eerbaar
honorarie;vereering
honoreren;eeren
horizon;gesigt-eynder, kim, gesigtring
horologe;stondwijser, uurwijser, uurwerk, sonnewijser
horreren;schrikken, verschrikken, afgrijsen
horreur;schrik, afschrik
horribel;schrikkelijk, grouwelijk
hortatie;vermaaninge, anporring, anmoediging, anmaaning
horteren;vermaanen, iewers toe vermaanen, verwekken en stooken, anporren,anmaanen, anmoedigen
hospes;waard, gasthouder, herbergier
hospitaal;herberg, waardhuys, gasthuys, gasthouding, gastvry
hospitaliteyt;herbergsaamheyd, gastvryheyd, waardschap, huysvesting
hostage;pand, gyseling
hostagier;pandsman, gyselaar
hostel;herberg, waardshuys
hostie;het Godmensch gemaakte brood, Godmensch gewordene brood
hostiliteyt;vyandlijkheyd, vyandschap
humain;menschelijk, beleefd, heusch
humaniteyt;menscheyd menschelijkheyd, beleeftheyd, heuschheyd
humbley;nedrig, demoedig
humectatie;bevogtiging
humecteren;bevogtigen
humefactie;bevogtiging, vogtmaaking
humeren;insuygen, slurpen
humeur;vogt, vogtigheyd, nat
humide;vogtig
humiditeyt;vogtigheyd
humiliatie;vernedering
humilieren;vernederen
humiliteyt;nedrigheyd, ootmoedigheyd
hydre;waterslang
hydropesie;watersugt, watersiekte
hymne;lofsanghypocrisie, geveynstheyd, schijnheyligheyd
hypocrijt;geveynsde, schijnheylig
hypoteeck generaal;algemeen vast onderpand, algemeen onderpand
hypoteeck legaal;stilswijgend vast-onderpand, wettelijk vast-onderpand,stilswijgende ondersetting
hypoteecq conditioneel;bevoorwaard vast onderpand, bevoorwaardeondersetting
hypoteecq conventioneel;besprooke vast-onderpand, besprooke ondersetting, bedonge ondersetting, bedonge vast-onderpand
hypoteecq speciaal;besonder onderpand, besonder vast onderpand
hypoteecq;vast onderpand, onderpand, grondpand, grondbrief, vesting,ondersetting, tegenpand
hypothekeren;veronderpanden, vestigen, ondersetten, onderpand stellen, voorpand verbinden
ideen;denkbeelden, beeldsels, voorbeeldsels, bewerpsels, ontwerpsels, schetsen
idioot;ongeleerde, ongeletterde, weet niet, gemeen mensch
idole;beeld, afgod
idololatrie-beeldendienst;afgodery, by Godsdienst
ignobel;onedel, onedel mensch, die van onedele ouders gebooren is
ignominie;versmaatheyd, schande, oneere, schandvlek, eerschending,naamschending
ignominieus;schandelijk, smadelijk, eerloos, naamschendig
ignorant;weet niet, weetloos, onkundig, onweetend
ignorantie;onweetenheyd, onkunde, onbedagtheyd
ignoreren;niet weeten, niet kennen, onkundig zijn
illaberen;invallen, insluypen
illachrimeren;beweenen
illatie;inbrenging, invoering, besluyt
illatijf;inbrengelijk, inbrengbaar
illegaliteyt;onwettelijkheyd
illegitime;onwettig, onwettelijk
illiberaliteyt;onmildaadigheyd, wrekheyd
illideren;instooten, tegenstooten, breeken
illiquide schulden;oneffe schulden, onafgerekende schulden, onklaare schulden,die nog niet klaar angewesen zijn, die nog niet afgerekent zijn
illiquide;onklaar, oneffen, onafgerekend
illisie;tegenhorting, tegen anstooting, breeking
illuderen;bespotten, beguyggelen
illuminatie;verligting
illumineren;verligten
illusie;bespotting, beguyggeling, scherts
illusoir;bespottelijk, belaggelijk, vrugteloos
illustratie;verligting, doorschijning
illustre;doorlugtig, edel, vermaard
illustreren;doorligten, doorhelderen, doorlugtigen, verklaaren
illuvie;invloeying
image;beeld, gelijkenis
imaginabel;inbeeldelijk
imaginatie;inbeelding
imagineren;inbeelden, in sijn gedagten verbeelden
imbecil;swak, onsterk
imbecilliteyt;swakheyd, onsterkheyd
imbueren;bevogtigen, instorten, onderwijsen
imbutie;bevogtiging, instorting
imitatie;navolging, nabootsing, volging, nadoening
imiteren;volgen, navolgen, na doen, namaaken
immanent;inblijvend
immateriaal;stoffeloos, onstoffelijk
immatriculatie;inschrijving, opschrijving, opteekening
immatriculeren;inschrijven, opschrijven, opteykenen
immaturiteyt;onrijpheyd
immatuur;onrijp
immediaat;onmiddelig
immediatelijk;onmiddelijk, sonder middel, eens klaps
immedicabel;ongeneeslijk, ongeneesbaar
immemoriaal;ongedenkbaar, onheugbaar, boven geheugen
immen;onmeetelijk
immensiteyt;onmeetelijkheyd
immeubel;onbeweeglijk, ontilbaar
immeubele goederen;onroerende goederen, ontilbaare goederen, vaste goederen,gelijk huys, hof, erf
imminentie;boven ’t hoofd hanging, genaaking
immineren;boven ’t hoofd hangen, genaaken
imminueren;verminderen, verkleynen, kneusen
imminutie;vermindering, verkleyning, kneusing
immisceren;inmengen, ondermengen
immiscibel;onmengelijk
immissie inde possessie;inlaating in het besit, inlaating inde besitting,insending inde besitting
immissie;inlaating, insending, indoening
immitteren;insenden, inlaaten, toesenden, indoen
immobil;onbeweeglijk, ontilbaar
immobile goederen;siet immeubele goederen
immoderatie;onmaatigheyd
immodest;onsedig, ongeschikt, ontugtig
immodestie;onsedigheyd, ontugt, ontugtigheyd
immodiliteyt;onsuyverheyd, onreynigheyd
immolatie;slagting, beest-slagting
immoleren;slagten, beest-slagten, beest slagten
immortaliseren;onsterflijk maaken
immortaliteyt;onsterflijkheyd
immortel;onsterflijk
immuabel;onveranderlijk, onwisselbaar
immuniteyt;onbelastheyd
immutabiliteyt;onveranderlijkheyd
impalpabel;ontastbaar, ontastelijk
impar;oneven, ongelijk, onpaar
impariteyt;onevenheyd
impartibel;ondeelig, ondeelijk, ondeelbaar
impartieren;mede deelen
impassibel;onlijdelijk, ongedoogsaam, onverdraaglijk
impatient;onlijdsaam, onverduldig, ongeduldig
impatientie;onlijdsaamheyd, onverduldigheyd, ongedult
impedieren;verhinderen, beletten
impediment;belet, hindering, verhindering
impelleren;anstouwen, met geweld stooten, voortdrijven, stooken, verwekken,bedwingen, beweegen
impenetrabel;ondoordringelijk
impenitent;onboetvaerdig
impenitentie;onboetvaerdigheyd
imperateur;gebieder, opper-gebieder, veld-heer opper-veldheer
imperceptibel;onbegrijpelijk, onbevattelijk
impereren;gebieden, beveelen, heerschen, heerschappen
imperfect;onvolmaakt, onvolkomen
imperfectie;onvolmaaktheyd, onvolkomentheyd
imperiaal;gebiedelijk, heerschelijk, heerschappelijk
imperieus;heerschend, heerssugtig, gebiedend
impersoneel;onselfstandig, onmenschelijk, niet op sik self bestaande
impersonelijk;onselfstandelijk, onmenschelijk, niet op sik self standelijk
impersuabiliteyt;ongeseggelijkheyd, onwijsmaakelijkheyd
impertinent;niet ter saak doende, niet behoorende, tot de saak niet behoorende,onbehoorlijk
impetrant;verkrijger, verwerver
impetrante;verkrijgster, verwerfster, versoekster
impetratie;verwerving, verkrijging
impetreren;verkrijgen, verwerven, verbidden, versoeken
impetueusiteyt;ongestuymigheyd, hevigheyd
impetueux;ongestuymig, heftig
impieteren;sondigen, godloos maaken
impieteyt;godloosheyd, on-godvrugtigheyd
impingeren;anwrijven, anstooten, opleggen, anhorten
impitoyabel;onbarmhertig
implacabel;onversoenlijk
impleren;vervullen
impletie;vervulling
implicatie;invouwing, inwinding, inwikkeling, beletting
impliceren;inwinden, invouwen, inrollen, beletten, bevangen,inwikkelen
imploratie;anroeping, hulp begeering
imploreren;anroepen, hulp begeeren, klaaglijk bidden
imployabel;onbuygelijk, onbuygsaam
imponeren;opleggen, te last leggen, opsetten, belasten, insetten, instellen,inleggen
importabel;ondraagelijk, onverdraagelijk, onlijdelijk
importantie;gewigtigheyd, belang
importeren;belangen, bedraagen
importuin;overlastig, onbeschoft, moeyelijk
importuneren;overlasten, lastig zijn, dringen, moeyelijk vallen
importuniteyt;overlast, moeyelijkheyd, overdringing
imposeren;opleggen, te last leggen, opsetten, belasten, insetten, inleggen
impositie;belasting, last, schatting, die op eenige waaren gesetword
impossibel;onmogelijk, ongeschiedelijk, dat niet geschieden kan
impost;
imposture;bedrog, bedriegery
impotent;onmagtig, onvermogen
impotentie;onmagtigheyd, onmagt, onvermogen
imprecatie;toewensching, vloek, kwaad wensching
impreceren;toewenschen, vloeken
impregnatie;bevrugting, beswangering
impregueren;bevrugten, beswangeren
imprenabel;onverkrijgelijk, onwinbaar
impressie;indrukking, drukking, indruksel, druksel, inbeelding
imprimeren;indrukken, merktekenen
improbabel;onbewijslijk, onbewijsbaar
improberen;kwaad keuren, kwaad agten, wraaken
improbiteyt;onvroomheyd, ondeugd
improprie;oneygen, oneygentlijk, onvoeglijk
imprudent;onvoorsigtig, onwijs
imprudentie;onvoorsigtigheyd, onwijsheyd
impudicq;onkuysch, onschamel, oneerbaar, onbeschaamt
impugnateur;tegenstrijder, bestrijder, bevegter
impugnatie;bestrijding, bevegting, tegenstrijding, wederstaaning, bestorming
impugneren;tegenstrijden, wederstaan, tegen iemand opstaan, bestrijden,bevegten, bestormen
impuisant;onmagtig, kragteloos
impulsie;andrijving, opstooking
impunibel;onstrafbaar
impuniteyt;ongestraftheyd, straf-vryheyd
imputatie;toerekening, wijting, antijging, toemeting
in cas van oppositie;in geval van tegenstellinge
in cas;in geval
in compositie ontfangen;tot afmaaking ontfangen, tot misdaads afmaakingontfangen, tot soening ontfangen
in contenti;aanstonds, datelijk, straks, staande voet
in curatele;
in decadentie;in vervalling van staat, in verloop, in ’t onderspit
in eygen persoon compareren;selfs komen, selfs verschijnen, in eygen hoofdekomen, in eygen hoofde verschijnen
in goede dispositie;
in persoon;selfs, in eygenhoofde
in reauditie komen aan het volle Collegie;in herhooring van gewijsde komen aan de volle vergaderingevan den raad
in reauditie komen;in herhooring van gewijsde komen
in salvo;in behoudenis, in behouden haven
in specie;in ’t bysonder, afsonderlijk, na sijn onderscheydinge
in state;opgehouden, uytgestelt
in tentatie;of in temptatie, in versoeking, in bekooring, in anvegting, in kwelling
in terminis;ter saake dienende
inaccessibel;ontoegankelijk, onbegankelijk, onbykomelijk, ongenaakelijk
inadequaat;on-even-maatig
Inadvertentie;onbedagtsaamheyd, reukeloosheyd, agteloosheyd
inadvertentie;onverwittigtheyd
inalienabel;onvervreembaar
inanitie;ydelheyd, leedigheyd, ontleediging, leedigmaaking
inartificiaal;onkonstig
inauguratie;inheyliging, inwying, inhulding
inaugureren;inheyligen, inwyen, inhulden
Incapabel zijn;niet mans genoeg zijn, onvermogen zijn
incapabel;onvatbaar, onvermogen, begrijpeloos, onbekwaam, onvattelijk
incapaciteyt;onvatbaarheyd, begrijpeloosheyd, onbevattelijkheyd,onvermogentheyd, onbekwaamheyd
incarceratie;gevange-setting, vanging, in gevangenis sluyting
incarcereren;gevangen setten, vangen, in gevangenis sluyten
incarnaat;rood, hoogrood, vleysverwig rood
incarnatie;bevleysching, invleysching, vleeschwording, menschwording
Incarnatie;tijd-schrift, tal-schrift
incarnative medicamenten;vleeschmaakende genees-middelen
incarneren;vleesch worden, bevleeschen
incenderen;ansteeken, ’t vuyr insteeken, doenbranden, eenig ding ontsteeken, anstooken
incensie;ansteeking, ontsteeking, anstooking
incentif;anstooksel
inceptie;beginning, begin, anvang
