loan_word;purist_equivalent_edited
amortiseren;in dooder hand stellen het goed, onvervreemdbaar maaken,onverhandelbaar maaken, onwandelbaar maaken
ampel;wijd, breed
amphibologie;dubbelsinnigheyd, donkere rede, twijffel rede, twijffelatigesin
amphitheater;schouwburg, toneel rond, ronden burg
ample;wijd, breed, ruym, wijdlugtig
amplecteren;omhalsen, omvangen, anneemen, verkiesen
amplexie;omhalsing
ampliatie;vermeerdering, grooter maaking
amplieren;vermeerderen, grooter maaken
amplificatie;uytbreiding, breedmaking
amplificeren;uytbreiden, breed maken, vermeeren
ampulle;kruyk, pul
amputatie;besnoeying, afsnijding
amputeren;afsnijden, afhouwen, afsnoeyen, knotten
amye;vriendinne
amys;vriend
amy-schap;vriendschap
anabaptist;herdooper, wederdooper, doops-gesinde
analogie;evenredenheyd, evenbedeeling, gelijkmaatigheyd, over-een-koming,anpassing
anathema;vloek, vloek besluyt
anathematiseren;vervloeken
anatomie;ontleeding, opsnijding, ontleedkunde
anchovi;
androgynen;man-wijven
angust;nauw, eng, beslooten
angusteren;benauwen, engen, eng maaken
angustie;benauwtheyd, bangigheyd
animadversie;anmerking, opmerking, toesiening, gade-slaaging, waarneeming,waarschouwing
animadvertentie;toesigt, anmerking, waarschouwing, bevroeding
